key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
329n	Depth, thickness, height, or third dimension, yards (variable measure trade item)	معرف العمق أو السماكة أو الارتفاع أو البعد الثالث ، ياردات (قياس متغير لوحدة المنتج )	深度、厚度、高度或第三維度，碼（變動型交易品項量測單位）	深度、厚度、高度或第三尺寸，码（变量贸易项目）	Diepte, dikte of hoogte in yards (artikel met variabele gegevens)	Tiefe, Dicke, Höhe oder 3. Dimension, Yard, Handelsinformation (Mengenvariable Einheiten)	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Γιάρδες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の深さ, 厚さ, 高さ, または寸法その3（ヤード）	Dziļums, biezums, augstums vai trešā dimensija, jardi (mainīga daudzuma tirdzniecības vienības)	Profundidade, Espessura, Altura ou 3ª Dimensão, Comercial em Jardas (item de dimensões variáveis)	Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)	ความลึก ความหนา หรือ ความสูง, หน่วยหลา (สินค้าที่มีปริมาณผันแปร)	Profondità, spessore, altezza o terza dimensione, iarde (unità commerciale a misura variabile)
330n	Logistic weight, kilograms	معرف الوزن اللوجستي ، الكيلوغرامات	物流量測單位，公里	物流重量，千克	Logistiek gewicht in kilogram	Bruttogewicht, Kilogramm	Μικτό Βάρος Logistics, Κιλά	物流単位の総重量（キログラム）	Loģistikas svars, kilogrami	Peso Bruto (Quilogramas)	Peso logístico, kilogramos	น้ำหนักของหน่วยขนส่ง, หน่วยกิโลกรัม	Peso logistico, chilogrammi
331n	Length or first dimension, metres	معرف الطول أو البعد الأول ، أمتار	第一維度長度，公尺	长度或第一尺寸，米	Lengte in meters	Länge oder 1. Dimension, Meter	Μήκος Ή 1η Διάσταση, Μέτρα	物流単位の長さ, または寸法その１（メートル）	Garums jeb pirmā dimensija, metri	Comprimento ou 1ª Dimensão, Logística (Metros)	Longitud o primera dimensión, metros	ความยาว, หน่วยเมตร	Lunghezza o prima dimensione, metri
332n	Width, diameter, or second dimension, metres	معرف العرض ، القطر ، أو البعد الثاني ، أمتار	寬度、直徑或第二維度，公尺	宽度、直径或第二尺寸，米	Breedte of diameter in meters	Breite, Durchmesser oder 2. Dimension, Meter	Πλάτος, Διάμετρος Ή 2η Διάσταση, Μέτρα	物流単位の幅, 直径, または寸法その2（メートル）	Platums, diametrs vai otrā dimensija, metri	Largura, Diâmetro ou 2ª Dimensão, Logística (Metros)	Ancho, diámetro, o segunda dimensión, metros	ความกว้าง หรือ เส้นผ่าศูนย์กลาง, หน่วยเมตร	Larghezza, diametro o seconda dimensione, metri
333n	Depth, thickness, height, or third dimension, metres	معرف العمق أو السمك أو الارتفاع أو البعد الثالث ، بالعدادات	深度、厚度、高度或第三維度，公尺	深度、厚度、高度或第三尺寸，米	Diepte, dikte of hoogte in meters	Dicke, Tiefe, Höhe oder 3. Dimension, Meter	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Μέτρα	物流単位の深さ, 厚さ, 高さまたは寸法その3（メートル）	Dziļums, biezums, augstums vai trešā dimensija, metri	Profundidade, Espessura, Altura ou 3ª Dimensão, Logística (Metros)	Profundidad, grosor, altura, o tercera dimensión, metros	ความลึก ความหนา หรือ ความสูง, หน่วยเมตร	Profondità, spessore, altezza o terza dimensione, metri
334n	Area, square metres	معرف المساحة ، متر مربع	面積，平方公尺	面积，平方米	Oppervlakte in vierkante meters	Fläche, Quadratmeter	Εμβαδόν, Τετρ. Μέτρα	物流単位の面積（平方メートル）	Virsma, kavadrātmetri	Área, Logística (Metros Quadrados)	Área, metros cuadrados	พื้นที่, หน่วยตารางเมตร	Superficie, metri quadrati
335n	Logistic volume, litres	معرف الحجم اللوجستي ، لترات	凈容積，公升	物流容积，升	Logistiek volume in liters	Bruttovolumen, Liter	Μικτός Όγκος, Λίτρα	物流単位の総容量（リットル）	Loģistikas tilpums, litri	Volume Bruto (Litros)	Volumen logístico, litros	ปริมาตรของหน่วยขนส่ง, หน่วยลิตร	Volume logistico, litri
336n	Logistic volume, cubic metres	معرف الحجم اللوجستي ، متر مكعب	凈容積，立方公尺	物流容积，立方米	Logistiek volume in kubieke meters	Bruttovolumen, Kubikmeter	Μικτός Όγκος, Κυβ. Μέτρα	物流単位の総体積（立方メートル）	Loģistikas tilpums, kubikmetri	Volume Bruto (Metros Cúbicos)	Volumen logístico, metros cúbicos	ปริมาตรของหน่วยขนส่ง, หน่วยลูกบาศก์เมตร	Volume logistico, metri cubi
337n	Kilograms per square metre	معرف كيلوغرام لكل متر مربع	每平方公尺，公里	千克每平方米	Kilogram per vierkante meter	Kilogramm pro Quadratmeter	Κιλά Ανά Τετρ. Μέτρο	1平方メートルあたりの重量（キログラム）	Kilogrami uz kvadrātmetru	Quilos por Metro Quadrado	Kilogramos por metro cuadrado	กิโลกรัมต่อตารางเมตร	Chilogrammi per metri quadrati
340n	Logistic weight, pounds	معرف الوزن اللوجستي ، أرطال	物流量測單位，英磅	物流重量，磅	Logistiek gewicht in Engelse ponden	Bruttogewicht, Pfund	Μικτό Βάρος Logistics, Λίβρες	物流単位の総重量（ポンド）	Loģistikas svars, mārciņas	Peso Bruto (Libras)	Peso logístico, libras	น้ำหนักของหน่วยขนส่ง, หน่วยปอนด์	Peso logistico, libbre
341n	Length or first dimension, inches	معرف الطول أو البعد الأول ، الانشات	第一維度長度，英吋	长度或第一尺寸，英寸	Lengte in inches	Länge oder 1. Dimension, Inch	Μήκος Ή 1η Διάσταση, Ίντσες	物流単位の長さ, または寸法その１（インチ）	Garums jeb pirmā dimensija, collas	Comprimento ou 1ª Dimensão, Logística (Polegadas)	Longitud o primera dimensión, pulgadas	ความยาว, หน่วยนิ้ว	Lunghezza o prima dimensione, pollici
342n	Length or first dimension, feet	معرف الطول أو البعد الأول ، القدم قياس للطول	第一維度長度，英呎	长度或第一尺寸，英尺	Lengte in feet	Länge oder 1. Dimension, Feet	Μήκος Ή 1η Διάσταση, Πόδια	物流単位の長さ, または寸法その１（フィート）	Garums jeb pirmā dimensija, pēdas	Comprimento ou 1ª Dimensão, Logística (Pés)	Longitud o primera dimensión, pies	ความยาว, หน่วยฟุต	Lunghezza o prima dimensione, piedi
343n	Length or first dimension, yards	معرف الطول أو البعد الأول ، ياردة	第一維度長度，碼	长度或第一尺寸，码	Lengte in yards	Länge oder 1. Dimension, Yard	Μήκος Ή 1η Διάσταση, Γιάρδες	物流単位の長さ, または寸法その１（ヤード）	Garums jeb pirmā dimensija, jardi	Comprimento ou 1ª Dimensão, Logística (Jardas)	Longitud o primera dimensión, yardas	ความยาว, หน่วยหลา	Lunghezza o prima dimensione, iarde
344n	Width, diameter, or second dimension, inches	معرف العرض ، القطر ، أو البعد الثاني ، الانشات	寬度、直徑或第二維度，英吋	宽度、直径或第二尺寸，英寸	Breedte of diameter in inches	Breite, Durchmesser oder 2. Dimension, Inch	Πλάτος, Διάμετρος Ή 2η Διάσταση, Ίντσες	物流単位の幅, 直径, または寸法その2（インチ）	Platums, diametrs vai otrā dimensija, collas	Largura, Diâmetro ou 2ª Dimensão, Logística (Polegadas)	Ancho, diámetro, o segunda dimensión, pulgadas	ความกว้าง หรือ เส้นผ่าศูนย์กลาง, หน่วยนิ้ว	Larghezza, diametro o seconda dimensione, pollici
345n	Width, diameter, or second dimension, feet	معرف العرض ، القطر ، أو البعد الثاني ، القدم	寬度、直徑或第二維度，英呎	宽度、直径或第二尺寸，英尺	Breedte of diameter in feet	Breite, Durchmesser oder 2. Dimension, Feet	Πλάτος, Διάμετρος Ή 2η Διάσταση, Πόδια	物流単位の幅, 直径, または寸法その2（フィート）	Platums, diametrs vai otrā dimensija, pēdas	Largura, Diâmetro ou 2ª Dimensão, Logística (Pés)	Ancho, diámetro, o segunda dimensión, pies	ความกว้าง หรือ เส้นผ่าศูนย์กลาง, หน่วยฟุต	Larghezza, diametro o seconda dimensione, piedi
346n	Width, diameter, or second dimension, yard	معرف العرض أو القطر أو البعد الثاني ، يارد	寬度、直徑或第二維度，碼	宽度、直径或第二尺寸，码	Breedte of diameter in yards	Breite, Durchmesser oder 2. Dimension, Yard	Πλάτος, Διάμετρος Ή 2η Διάσταση, Γιάρδες	物流単位の幅, 直径, または寸法その2（ヤード）	Platums, diametrs vai otrā dimensija, jardi	Largura, Diâmetro ou 2ª Dimensão, Logística (Jardas)	Ancho, diámetro, o segunda dimensión, yardas	ความกว้าง หรือ เส้นผ่าศูนย์กลาง, หน่วยหลา	Larghezza, diametro o seconda dimensione, iarde
347n	Depth, thickness, height, or third dimension, inches	معرف العمق أو السمك أو الطول أو البعد الثالث ، الانشات	深度、厚度、高度或第三維度，英吋	深度、厚度、高度或第三尺寸，英寸	Diepte, dikte of hoogte in inches	Dicke, Tiefe, Höhe oder 3. Dimension, Inch	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Ίντσες	物流単位の深さ, 厚さ, 高さ, または寸法その3（インチ）	Dziļums, biezums, augstums vai trešā dimensija, collas	Profundidade, Espessura, Altura ou 3ª Dimensão, Logística (Polegadas)	Profundidad, grosor, altura, o tercera dimensión, pulgadas	ความลึก หรือ ความหนา หรือ ความสูง, หน่วยนิ้ว	Profondità, spessore, altezza o terza dimensione, pollici
348n	Depth, thickness, height, or third dimension, feet	معرف العمق أو السمك أو الطول أو البعد الثالث ، القدم	深度、厚度、高度或第三維度，英呎	深度、厚度、高度或第三尺寸，英尺	Diepte, dikte of hoogte in feet	Dicke, Tiefe, Höhe oder 3. Dimension, Feet	Βάθος, Πάχος, Ύψος Ή 3η Διάσταση, Πόδια	物流単位の深さ, 厚さ, 高さ, または寸法その3（フィート）	Dziļums, biezums, augstums vai trešā dimensija, pēdas	Profundidade, Espessura, Altura ou 3ª Dimensão, Logística (Pés)	Profundidad, grosor, altura o tercera dimensión, pies	ความลึก หรือ ความหนา หรือ ความสูง, หน่วยฟุต	Profondità, spessore, altezza o terza dimensione, piedi
